"","id10","N","dec10","grp10"
"466","S711",2,"Herida del muslo",""
"467","S720",8,"Fractura del cuello del femur",""
"468","S721",2,"Fractura pertrocanteriana",""
"469","S724",1,"Fractura de la epifisis inferior del femur",""
"470","S729",4,"Fractura del femur, parte no especificada",""
"471","S818",1,"Herida de otras partes de la pierna",""
"472","S819",1,"Herida de la pierna, parte no especificada",""
"473","S822",6,"Fractura de la diafisis de la tibia",""
"474","S824",1,"Fractura del perone solamente",""
"475","S828",6,"Fractura de otras partes de la pierna",""
"476","S832",1,"Desgarro de meniscos, presente",""
"477","S899",1,"Traumatismo de la pierna, no especificado",""
"478","S931",1,"Luxacion de dedo(s) del pie",""
"479","T006",1,"Traumatismos superficiales que afectan multiples regiones del(os) miembro(s) superior(es) con miembro(s) inferior(es)",""
"480","T009",5,"Traumatismos superficiales multiples, no especificados",""
"481","T019",1,"Heridas multiples, no especificados",""
"482","T025",1,"Fracturas que afectan multiples regiones de ambos miembros inferiores",""
"483","T026",1,"Fracturas que afectan multiples regiones de miembro(s) superior(es) con miembro(s) inferior(es)",""
"484","T027",1,"Fracturas que afectan el torax con la region lumbosacra y la pelvis con miembro(s)",""
"485","T029",1,"Fracturas multiples, no especificados",""
"486","T041",1,"Traumatismos por aplastamiento que afectan el torax con el abdomen, la region lumbosacra y la pelvis",""
"487","T131",1,"Herida de miembro inferior, nivel no especificado",""
"488","T140",3,"Traumatismos superficial de region no especificada del cuerpo",""
"489","T175",1,"Cuerpo extraño en bronquios",""
"490","T221",2,"Quemadura del hombro y miembro superior, de primer grado, excepto de la muñeca y de la mano",""
"491","T240",2,"Quemadura de la cadera y del miembro inferior, grado no especificado, excepto tobillo y pie",""
"492","T250",2,"Quemadura del tobillo y del pie, grado no especificado",""
"493","T266",1,"Corrosion de la cornea y saco conjuntival",""
"494","T290",1,"Quemaduras de multiples regiones, grado no especificado",""
"495","T300",6,"Quemadura de region del cuerpo y grado no especificados",""
"496","T302",1,"Quemadura de segundo grado, region del cuerpo no especificada",""
"497","T310",1,"Quemaduras que afectan menos del 10% de la superficie del cuerpo",""
"498","T421",1,"Envenenamiento por antiepilepticos, hipnoticos",""
"499","T509",3,"Envenenamiento por diureticos y otras drogas, medicamentos y sustancias biologicas no especificadas: otras drogas y sustancias biologicas, y las no especificadas",""
"500","T633",1,"Efecto toxico del contacto con animales venenosos: veneno de arañas",""
"501","T751",1,"Ahogamiento y sumersion no mortal",""
"502","T782",1,"Choque anafilactico, no especificado",""
"503","T784",2,"Alergia no especificada",""
"504","T805",1,"Choque anafilactico debido a suero",""
"505","T814",6,"Infeccion consecutiva a procedimiento, no clasificada en otra parte",""
"506","T822",1,"Complicacion mecanica de derivacion de arteria coronaria e injerto vascular",""
"507","T828",1,"Otras complicaciones de dispositivos protesicos, implantes e injertos cardiovasculares",""
"508","T848",1,"Otras complicaciones de dispositivos protesicos, implantes e injertos ortopedicos internos",""
"509","T905",1,"Secuelas de traumatismo intracraneal",""
"510","Z010",4,"Examen de ojos y de la vision",""
"511","Z018",4,"Otros examenes especiales especificados",""
"512","Z028",1,"Otros examenes para fines administrativos",""
"513","Z136",12,"Examen de pesquisa especial para trastornos cardiovasculares",""
"514","Z302",3,"Esterilizacion",""
"515","Z352",3,"Supervision de embarazo con otro riesgo en la historia obstetrica o reproductiva",""
"516","Z359",3,"Supervision de embarazo de alto riesgo, sin otra especificacion",""
"517","Z391",9,"Atencion y examen de madre en periodo de lactancia",""
"518","Z408",1,"Otra cirugia profilactica",""
"519","Z411",3,"Otras cirugias plasticas por razones esteticas",""
"520","Z421",1,"Cuidados posteriores a la cirugia plastica de la mama",""
"521","Z429",1,"Cuidados posteriores a la cirugia plastica no especificada",""
"522","Z450",2,"Asistencia y ajuste de marcapaso cardiaco",""
"523","Z466",1,"Prueba y ajuste de dispositivo urinario",""
"524","Z470",4,"Cuidados posteriores a la extraccion de placa u otro dispositivo de fijacion interna en fractura",""
"525","Z480",1,"Atencion de los apositos y suturas",""
"526","Z509",4,"Atencion por procedimiento de rehabilitacion, no especificada",""
"527","Z512",5,"Otra quimioterapia",""
"528","Z538",2,"Procedimiento no realizado por otras razones",""
"529","Z540",8,"Convalecencia consecutiva a cirugia",""
"530","Z544",1,"Convalecencia consecutiva a tratamiento de fractura",""
"531","Z548",1,"Convalecencia consecutiva a otros tratamientos",""
"532","Z915",17,"Historia personal de lesion autoinfligida intencionalmente",""
