"","Fecha","Egresos","PNOm","PNO2m","PHCTm","PHCNMm","PMP10m","POzonom","PSO2m"
"95",2015-08-01,"Medio",9.567448,8.653086,53.7707,0.110055,33.2018666666667,15.351136,9.010658
"96",2015-09-01,"Alto",6.739274,7.465182,33.07551,0.152668,29.7739,13.358546,7.574406
"97",2015-10-01,"Alto",6.370158,6.727022,23.63416,0.165921,27.6068666666667,15.29748,4.339288
"98",2015-11-01,"Bajo",4.60616,6.548072,23.083515,0.168571,30.2384666666667,12.248804,7.693838
"99",2015-12-01,"Medio",8.946198,6.173257,22.569135,0.119109,35.0657666666667,10.132217,12.040784
"100",2016-01-01,"Bajo",8.728116,5.832412,25.04552,0.123805,39.9336333333333,8.282998,10.370228
"101",2016-02-01,"Bajo",7.869465,6.328165,25.759065,0.135466,47.0715,7.269252,7.22414
"102",2016-03-01,"Bajo",4.91389,7.352998,29.0491,0.134532,46.25405,15.97494,7.276338
"103",2016-04-01,"Bajo",6.82613,7.391946,30.918815,0.144718,41.5279,12.894246,6.447918
"104",2016-05-01,"Medio",11.023536,9.57861,29.35077,0.172938,35.92705,8.955198,8.850914
"105",2016-06-01,"Bajo",11.139443,9.809986,25.100255,0.154506,51.3019375,9.311009,8.738686
"106",2016-07-01,"Alto",11.61088,9.41603,24.5306,0.149204,41.673025,11.180568,10.004382
"107",2016-08-01,"Alto",10.710822,8.977996,19.92419,0.123568,47.503075,11.098954,9.970062
"108",2016-09-01,"Medio",5.969306,7.59201,21.051465,0.111726,44.41255,14.285,9.14445
"109",2016-10-01,"Medio",7.36426,7.44833,22.97528,0.0971232,34.272975,13.50414,5.537562
"110",2016-11-01,"Bajo",7.044845,6.426486,19.678085,0.10229295,39.556225,12.34241,8.208306
"111",2016-12-01,"Bajo",8.169108,6.412372,24.173565,0.105603,33.9138,11.36392,7.707114
"112",2017-01-01,"Medio",6.268748,5.71313,29.20265,0.132155,51.8958666666667,12.34898,8.532404
"113",2017-02-01,"Bajo",12.543888,5.394848,28.271345,0.153233,44.1958,8.604948,13.434382
"114",2017-03-01,"Bajo",6.75366,7.0319475,1.61896,0.107979,41.5683333333333,11.044005,7.28231
"115",2017-04-01,"Bajo",9.0451275,8.4950725,1.67995,0.128942,42.5213,11.31508,7.5552575
"116",2017-05-01,"Medio",8.182365,8.4436875,1.72166,0.0449143,32.0259666666667,11.756405,5.47395
"117",2017-06-01,"Medio",8.8002,7.9811675,1.91535,0.0521133,28.8571333333333,13.3833425,5.57225
"118",2017-07-01,"Medio",9.6780225,8.4494175,2.03842,0.0659127,36.1415666666667,12.7271425,6.402425
"119",2017-08-01,"Medio",6.0241,7.166645,1.87537,0.0599884,27.5136333333333,13.91935,6.2668625
"120",2017-09-01,"Medio",5.5111725,6.6228525,1.97269,0.0303591,36.9801,13.9658,7.11695
"121",2017-10-01,"Medio",5.4462125,6.9404025,1.95822,0.0502538,30.3763333333333,14.3492,7.1777425
"122",2017-11-01,"Bajo",4.5762925,6.98184,1.99833,0.0440292,33.2555333333333,14.275025,8.47434
"123",2017-12-01,"Bajo",6.387245,6.76743,1.98229,0.0554822,33.4193333333333,12.774175,8.5103225
