"","Region","nombre_region","provincia","Nombre_provincia","Comuna","nombre_comuna","a2002","a2003","a2004","a2005","a2006","a2007","a2008","a2009","a2010","a2011","a2012","a2013","a2014","a2015","a2016","a2017","a2018","a2019","a2020"
"162",13,"Región Metropolitana",131,"Santiago",13118,"Macul",116686,117272,117795,118282,118786,119332,119943,120590,121213,121809,122404,122966,123506,124015,124492,124905,125273,125596,125855
"163",14,"XIV  Los Ríos",141,"Valdivia",14105,"Máfil",7475,7473,7450,7453,7443,7447,7442,7458,7469,7461,7466,7461,7464,7460,7461,7458,7456,7449,7445
"164",13,"Región Metropolitana",131,"Santiago",13119,"Maipú",485717,490521,495072,499560,504130,508903,513993,519282,524466,529623,534801,539869,544876,549788,554548,559123,563499,567675,571632
"165",6,"VI  O'Higgins",61,"Cachapoal",6109,"Malloa",13352,13384,13416,13449,13485,13511,13552,13608,13653,13700,13743,13774,13816,13861,13905,13937,13972,13990,13995
"166",6,"VI  O'Higgins",62,"Cardenal Caro",6204,"Marchihue",7158,7205,7243,7271,7306,7351,7376,7415,7448,7482,7511,7543,7565,7594,7623,7637,7650,7661,7667
"167",2,"II  Antofagasta",23,"Tocopilla",2302,"María Elena",7815,7572,7327,7096,6871,6648,6436,6239,6052,5872,5687,5506,5340,5162,5000,4840,4680,4521,4371
"168",13,"Región Metropolitana",135,"Melipilla",13504,"María Pinto",10729,10880,11037,11187,11342,11504,11666,11850,12014,12190,12365,12550,12725,12901,13066,13238,13406,13561,13728
"169",14,"XIV  Los Ríos",141,"Valdivia",14106,"Mariquina",18893,19094,19293,19509,19743,19995,20257,20517,20786,21054,21317,21580,21845,22119,22385,22654,22920,23186,23448
"170",7,"VII  Maule",71,"Talca",7105,"Maule",17453,18955,20579,22325,24216,26245,28443,30842,33403,36154,39117,42279,45676,49334,53238,57427,61882,66634,71691
"171",10,"X  Los Lagos",101,"Llanquihue",10108,"Maullín",16158,16194,16213,16207,16181,16150,16115,16075,16043,15983,15928,15858,15788,15722,15647,15572,15492,15408,15316
"172",2,"II  Antofagasta",21,"Antofagasta",2102,"Mejillones",8731,8909,9078,9259,9431,9622,9810,10014,10221,10435,10656,10875,11090,11309,11541,11754,11977,12192,12403
"173",9,"IX   Araucanía",91,"Cautín",9110,"Melipeuco",5835,5852,5852,5855,5863,5869,5859,5862,5862,5860,5854,5853,5848,5837,5835,5819,5816,5798,5782
"174",13,"Región Metropolitana",135,"Melipilla",13501,"Melipilla",98062,99415,100714,102019,103350,104737,106183,107692,109182,110682,112193,113698,115197,116680,118142,119580,120972,122339,123669
"175",7,"VII  Maule",73,"Curicó",7304,"Molina",39935,40101,40275,40448,40617,40819,41017,41236,41450,41632,41814,41968,42128,42273,42409,42531,42632,42712,42767
"176",4,"IV  Coquimbo",43,"Limarí",4303,"Monte Patria",31386,31545,31704,31870,32034,32218,32423,32642,32863,33074,33278,33466,33641,33796,33952,34072,34180,34278,34365
"177",6,"VI  O'Higgins",61,"Cachapoal",6110,"Mostazal",22676,23000,23295,23594,23881,24174,24462,24767,25074,25363,25635,25906,26170,26433,26693,26931,27157,27367,27548
"178",8,"VIII  Biobío",83,"Biobío",8305,"Mulchén",30076,30134,30184,30221,30260,30300,30341,30385,30423,30457,30472,30473,30479,30485,30484,30465,30435,30400,30354
"179",8,"VIII  Biobío",83,"Biobío",8306,"Nacimiento",26935,27067,27193,27305,27430,27546,27668,27793,27911,28017,28128,28214,28305,28392,28471,28542,28606,28656,28699
"180",6,"VI  O'Higgins",63,"Colchagua",6305,"Nancagua",16213,16303,16391,16469,16527,16588,16662,16741,16814,16879,16938,16984,17029,17075,17113,17147,17169,17178,17171
